VPN,14833990,307.60436,4.04476476,8765259,445212.6061,587629.04,5296882,5296882,7345363,1177978.677,1284574.514,251423.5593,4793087.5,5925467,5475880,5296882,26,4289293,2008036.18,,,867614.674,712473.0145,70,393
VPN,3166916,908.4547869,11.99905523,-1,165929.2778,175937.8889,400242,-1,0,115309.8591,200715.4276,85592.32432,0,-1,400242,554394,10,-1,0,,,105935.9664,0,64,25
VPN,177831,1608.268525,28.1165826,-1,0,59259.33333,125893,-1,0,0,59417.98778,44457.75,0,-1,-1,125893,53,-1,0,,,56833.19738,0,-1,11784
VPN,24,3833333.333,83333.33333,-1,0,0,24,-1,0,0,0,24,0,-1,-1,-1,24,-1,0,,,0,0,-1,-1
VPN,14933685,353.9648787,3.950799819,12766780,672300.8182,426676.7143,9994013,9994013,12800000,2086984.816,1674371.78,257477.3276,9994013,12766780,9994096,10031689,30,9994013,0,,,1303776.362,0,368,30
VPN,14980912,454.444963,4.27210306,12750023,599235.12,403771.027,9990068,9990068,12800000,1961961.23,1628206.846,237792.254,9990068,12750023,9990119,10028854,2,9990068,0,,,1250999.836,0,888,17
VPN,75,1893333.333,26666.66667,-1,0,0,75,-1,0,0,0,75,0,-1,-1,-1,75,-1,0,,,0,0,-1,-1
VPN,173109,1120.681189,17.33012148,-1,0,173073,173073,-1,0,0,0,86554.5,0,-1,-1,173073,36,-1,0,,,122355.6361,0,-1,173073
VPN,10025152,1213.248438,8.179427105,4539573,214027.0652,294857.4118,2204345,2204345,3292725,363445.4984,410704.2959,123767.3086,1624632,2045877,2394260,2204345,9,1044919,1763309.352,,,271451.9026,819837.9869,33,30
VPN,14879311,308.1459887,3.898029956,7259736,639050.5217,450888.2121,4992664,4992664,7184658,1382543.049,1183328.153,261040.5439,4992558.5,7109580,4992727,5032972,32,4992453,106176.3258,,,913810.977,149.1961796,654,32
VPN,14987805,317.1244889,4.136696468,9139862,436620.3529,576454.0385,5610298,5610298,7336302.5,1152035.758,1252517.686,245701.7213,4696078,5532743,5788843,5610298,28,3781858,2550618.305,,,848279.8569,1292902.323,36,814
